product,url,price,serving size,calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Protein,Calcium
All Natural Fresh Mozzarella Cheese,/home/products/pdp/all-natural-fresh-mozzarella-cheese-077726,5.98,28.0,70.0,6.0,3.5,20.0,80.0,0.0,5.0,80.0
Fancy Shredded Mexican Style Cheese Blend,/home/products/pdp/fancy-shredded-mexican-style-cheese-blend-082338,4.92,28.0,100.0,8.0,5.0,25.0,150.0,3.0,6.0,190.0
Spicy Buffalo Cheddar,/home/products/pdp/spicy-buffalo-cheddar-073840,7.99,28.0,100.0,8.0,6.0,25.0,320.0,0.0,6.0,150.0
Quattro Formaggi,/home/products/pdp/quattro-formaggi-052954,6.653333333333333,28.0,110.0,8.0,6.0,25.0,230.0,0.0,7.0,250.0
Garlic Bread Cheese,/home/products/pdp/garlic-bread-cheese-071622,11.44,28.0,90.0,7.0,4.5,25.0,200.0,2.0,6.0,200.0
Pizza Bread Cheese,/home/products/pdp/pizza-bread-cheese-073304,10.64,28.0,100.0,6.0,5.0,25.0,190.0,0.0,6.0,150.0
Italian Lagorai Semi-Soft Cheese,/home/products/pdp/italian-lagorai-semi-soft-cheese-054875,9.99,28.0,120.0,11.0,8.0,25.0,160.0,0.0,6.0,150.0
Organic Crumbled Feta Cheese,/home/products/pdp/organic-crumbled-feta-cheese-062632,9.306666666666667,28.0,70.0,5.0,3.5,15.0,270.0,3.0,4.0,40.0
Vegan Feta Cheese Alternative,/home/products/pdp/vegan-feta-cheese-alternative-071068,9.805714285714286,28.0,80.0,8.0,7.0,0.0,210.0,3.0,0.0,0.0
Truffle Burrata,/home/products/pdp/truffle-burrata-072271,11.98,28.0,60.0,5.0,3.5,15.0,55.0,0.0,3.0,40.0
Cranberry Chèvre Goat Cheese,/home/products/pdp/cranberry-chvre-goat-cheese-092966,7.98,28.0,80.0,4.5,3.0,20.0,75.0,5.0,4.0,0.0
Raclette Sliced Cheese,/home/products/pdp/raclette-sliced-cheese-097089,10.89090909090909,28.0,100.0,8.0,4.0,25.0,220.0,0.0,7.0,150.0
Cheddar Cheese with Scotch Bonnet Chili Peppers,/home/products/pdp/cheddar-cheese-with-scotch-bonnet-chili-peppers-072426,8.99,28.0,110.0,9.0,6.0,30.0,140.0,2.0,6.0,150.0
Vegan Cream Cheese Alternative,/home/products/pdp/vegan-cream-cheese-alternative-070942,5.58,28.0,90.0,9.0,8.0,0.0,160.0,4.0,0.0,0.0
Unexpected Cheddar Cheese,/home/products/pdp/unexpected-cheddar-cheese-096923,9.12,28.0,110.0,9.0,6.0,25.0,180.0,0.0,7.0,150.0
English Cheddar with Caramelized Onions,/home/products/pdp/english-cheddar-with-caramelized-onions-052381,8.99,28.0,110.0,9.0,6.0,20.0,190.0,1.0,6.0,150.0
Shredded Parmesan Cheese Alternative,/home/products/pdp/shredded-parmesan-cheese-alternative-070636,7.98,28.0,100.0,7.0,7.0,0.0,380.0,8.0,0.0,0.0
Chevre Goat Cheese,/home/products/pdp/chevre-goat-cheese-019751,9.568000000000001,28.0,80.0,6.0,4.5,25.0,80.0,0.0,5.0,0.0
Cheddar & Gruyere Mèlange Cheese,/home/products/pdp/cheddar-and-gruyere-mlange-cheese-095552,7.49,28.0,110.0,9.0,6.0,25.0,125.0,1.0,7.0,150.0
Shredded Lite Mozzarella Cheese,/home/products/pdp/shredded-lite-mozzarella-cheese-069040,4.386666666666667,28.0,60.0,2.0,1.5,10.0,170.0,3.0,7.0,190.0
Mobay Cheese,/home/products/pdp/mobay-cheese-069041,15.977142857142857,28.0,100.0,8.0,6.0,30.0,75.0,2.0,6.0,200.0
Italian Truffle Cheese,/home/products/pdp/italian-truffle-cheese-088649,12.99,28.0,100.0,8.0,6.0,25.0,240.0,10.0,7.0,150.0
New Zealand Sharp Cheddar Cheese,/home/products/pdp/new-zealand-sharp-cheddar-cheese-004062,6.49,28.0,120.0,10.0,6.0,25.0,200.0,0.0,7.0,150.0
Organic Shredded 3 Cheese Blend,/home/products/pdp/organic-shredded-3-cheese-blend-062070,8.98,28.0,100.0,8.0,5.0,25.0,170.0,0.0,7.0,200.0
Onion & Chive Cream Cheese Spread,/home/products/pdp/onion-and-chive-cream-cheese-spread-062189,3.98,30.0,74.66666666666667,7.466666666666667,5.6,23.333333333333332,102.66666666666667,2.8,0.0,28.0
Sliced New Zealand Organic Cheddar,/home/products/pdp/sliced-new-zealand-organic-cheddar-056942,9.98,28.0,120.0,10.0,6.0,25.0,210.0,0.0,6.0,265.0
Israeli Feta,/home/products/pdp/israeli-feta-063082,12.709090909090909,28.0,70.0,5.0,3.5,20.0,160.0,1.0,4.0,100.0
Part Skim Ricotta Cheese,/home/products/pdp/part-skim-ricotta-cheese-061467,3.49,55.0,35.63636363636363,2.2909090909090906,1.5272727272727271,12.727272727272727,40.72727272727272,1.5272727272727271,2.036363636363636,106.90909090909089
Chevre with Honey,/home/products/pdp/chevre-with-honey-060556,9.568000000000001,28.0,80.0,5.0,3.5,20.0,75.0,4.0,4.0,20.0
Shredded Unexpected Cheddar Cheese,/home/products/pdp/shredded-unexpected-cheddar-cheese-065191,9.98,28.0,110.0,9.0,6.0,25.0,180.0,1.0,7.0,210.0
Cheese Party Tray,/home/products/pdp/cheese-party-tray-075219,5.99,32.0,105.0,7.875,5.25,26.25,148.75,0.875,7.0,175.0
