product,url,price,per weight,serving size,calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Includes,Protein,Vitamin D,Calcium,Iron,Potassium,Fiber,Vitamin A,Added Sugars,Sugars
All Natural Fresh Mozzarella Cheese,/home/products/pdp/all-natural-fresh-mozzarella-cheese-077726,$2.99,/0.5 Lb,(28g),70,"['6 g', '8%']","['3.5 g', '18%']","['0 g', '']","['20 mg', '7%']","['80 mg', '3%']","['less than 1 g', '0%']","['0 g', '0%']","['less than 1 g', '']","['0 g Added Sugars', '0%']","['5 g', '']","['', '0%']","['', '8%']","['', '0%']","['', '0%']",,,,
Fancy Shredded Mexican Style Cheese Blend,/home/products/pdp/fancy-shredded-mexican-style-cheese-blend-082338,$3.69,/12 Oz,(28g / 1/4 cup),100,"['8 g', '10%']","['5 g', '25%']","['0 g', '']","['25 mg', '8%']","['150 mg', '7%']","['3 g', '1%']","['0 g', '0%']","['0 g', '']","['0 g Added Sugars', '0%']","['6 g', '']","['0.2 mcg', '0%']","['190 mg', '15%']","['0.1 mg', '0%']","['20 mg', '0%']",,,,
Spicy Buffalo Cheddar,/home/products/pdp/spicy-buffalo-cheddar-073840,$7.99,/1 Lb,(28g/about 1 inch cube),100,"['8g', '10%']","['6g', '30%']","['0g', '']","['25mg', '8%']","['320mg', '14%']","['less than 1g', '0%']",,"['0g', '']","['0g Added Sugars', '0%']","['6g', '']","['', '0%']","['', '15%']","['', '0%']","['', '0%']","['less than 1g', '2%']",,,
Quattro Formaggi,/home/products/pdp/quattro-formaggi-052954,$4.99,/12 Oz,(28g / 1/4 cup),110,"['8 g', '10%']","['6 g', '30%']","['0 g', '']","['25 mg', '8%']","['230 mg', '10%']","['Less than 1 g', '0%']","['0 g', '0%']","['0 g', '']","['0 g Added Sugars', '0%']","['7 g', '']","['0 mcg', '0%']","['250 mg', '20%']","['0 mg', '0%']","['20 mg', '0%']",,,,
Garlic Bread Cheese,/home/products/pdp/garlic-bread-cheese-071622,$4.29,/6 Oz,(28g / about 1 inch cube),90,"['7 g', '9%']","['4.5 g', '23%']","['0 g', '']","['25 mg', '8%']","['200 mg', '9%']","['2 g', '1%']","['0 g', '0%']","['less than 1g g', '']","['0 g Added Sugars', '0%']","['6 g', '']","['0.1 mcg', '0%']","['200 mg', '15%']","['0.1 mg', '0%']","['40 mg', '0%']",,,,
Pizza Bread Cheese,/home/products/pdp/pizza-bread-cheese-073304,$3.99,/6 Oz,(28g/about 1 inch cube),100,"['6 g', '8%']","['5.0 g', '25%']","['0 g', '']","['25 mg', '8%']","['190 mg', '8%']","['less than 1 g', '0%']","['0 g', '0%']","['0 g', '']","['0 g Added Sugars', '0%']","['6 g', '']","['', '0%']","['', '15%']","['', '0%']","['', '0%']",,,,
Italian Lagorai Semi-Soft Cheese,/home/products/pdp/italian-lagorai-semi-soft-cheese-054875,Not available,/1 Lb,(28g/about 1 inch cube),120,"['11g', '14%']","['8g', '40%']","['0g', '']","['25mg', '8%']","['160mg', '7%']","['0g', '0%']",,"['0g', '']","['0g Added Sugars', '0%']","['6g', '']","['', '0%']","['', '15%']","['', '0%']","['', '0%']","['0g', '0%']",,,
Organic Crumbled Feta Cheese,/home/products/pdp/organic-crumbled-feta-cheese-062632,$3.49,/6 Oz,(28g/ 1/4 cup),70,"['5 g', '6%']","['3.5 g', '18%']","['0 g', '']","['15 mg', '5%']","['270 mg', '12%']","['3 g', '1%']","['1 g', '4%']","['0 g', '']","['0 g Added Sugars', '0%']","['4 g', '']","['', '0%']","['', '4%']","['', '0%']","['', '0%']",,,,
Vegan Feta Cheese Alternative,/home/products/pdp/vegan-feta-cheese-alternative-071068,$4.29,/7 Oz,(28g/about 1 inch cube),80,"['8 g', '10%']","['7 g', '35%']","['0 g', '']","['0 mg', '0%']","['210 mg', '9%']","['3 g', '1%']","['0 g', '0%']","['0 g', '']","['0 g Added Sugars', '0%']","['0 g', '']","['', '0%']","['', '0%']","['', '2%']","['', '0%']",,,,
Truffle Burrata,/home/products/pdp/truffle-burrata-072271,$5.99,/8 Oz,(28g/about 1/4 piece),60,"['5 g', '6%']","['3.5 g', '18%']","['0 g', '']","['15 mg', '5%']","['55 mg', '2%']","['0 g', '0%']","['0 g', '0%']","['0 g', '']","['0 g Added Sugars', '0%']","['3 g', '']","['', '0%']","['', '4%']","['', '0%']","['', '0%']",,,,
Cranberry Chèvre Goat Cheese,/home/products/pdp/cranberry-chvre-goat-cheese-092966,$3.99,/8 Oz,(28g),80,"['4.5g', '6%']","['3g', '15%']","['0g', '']","['20mg', '7%']","['75mg', '3%']","['5g', '2%']",,"['3g', '']","['2g Added Sugars', '4%']","['4g', '']","['', '0%']","['', '0%']","['', '0%']","['', '0%']","['0g', '0%']",,,
Raclette Sliced Cheese,/home/products/pdp/raclette-sliced-cheese-097089,$5.99,/8.8 Oz,(28g/1oz),100,"['8 g', '10%']","['4 g', '20%']","['0 g', '']","['25 mg', '8%']","['220 mg', '10%']","['0 g', '0%']","['0 g', '0%']","['0 g', '']","['0 g Added Sugars', '0%']","['7 g', '']","['', '0%']","['', '15%']","['', '0%']","['', '0%']",,,,
Cheddar Cheese with Scotch Bonnet Chili Peppers,/home/products/pdp/cheddar-cheese-with-scotch-bonnet-chili-peppers-072426,$8.99,/1 Lb,(28g/about 1 inch cube),110,"['9g', '12%']","['6g', '30%']","['0g', '']","['30mg', '10%']","['140mg', '6%']","['2g', '1%']",,"['1g', '']","['1g Added Sugars', '2%']","['6g', '']","['', '0%']","['', '15%']","['', '0%']","['', '0%']","['less than 1g', '2%']",,,
